time (s),motor position (nm),sensor position (nm)
4.197698772,9734666,239
4.202512062,9874578,675
4.207358995,9956813,-705
4.212676155,10018982,-723
4.217659392,10072579,-999
4.222600904,10124789,913
4.22745937,10175587,172
4.23255521,10226328,215
4.237491131,10276422,1534
4.242469727,10327853,1150
4.24765896,10378274,1227
4.252603727,10428484,393
4.257541756,10479484,104
4.262491182,10529021,-693
4.267600571,10579062,1904
4.272498685,10629732,542
4.277447896,10678837,1067
4.282450416,10729967,623
4.287571444,10780791,402
4.292544299,10830417,919
4.29744725,10879766,-470
4.302460577,10930372,-989
4.307552901,10981131,1313
4.312465052,11030425,859
4.317415158,11080835,655
4.322391382,11129917,2750
4.327634611,11179762,2395
4.332467169,11229984,1679
4.337642088,11280539,538
4.342616873,11329893,-132
4.347482398,11379485,989
4.352645253,11429969,-212
4.357560805,11479781,-579
4.362490081,11528649,1828
4.367504372,11578713,919
4.3724299779999996,11627544,-591
4.377432999,11671919,1151
4.382640834,11684088,1234
4.38745595,11585264,677
4.392700041,11750056,500
4.397465375,11848770,2385
4.402529771,11915958,2100
4.407433545,11971866,556
4.412625445,12023448,1304
4.417543333,12075032,1225
4.422357556,12124871,931
4.427428427,12176834,1277
4.432606224,12226627,900
4.437700928,12278214,289
4.442513502,12328945,178
4.447501272,12378492,1357
4.452464624,12428243,502
4.457696516,12478131,-415
4.462436764,12529864,1220
4.4675692399999996,12579210,577
4.472570331,12629396,770
4.477505138,12680248,576
4.482547933,12730644,2684
4.487585712,12780050,1726
4.492988698,12829784,2069
4.497446848,12880708,1872
4.502784452,12930123,3040
4.50743417,12980165,3208
4.512725341,13030612,2471
4.517364944,13079384,1679
4.522459813,13130191,1155
4.527738811,13180664,-154
4.532699144,13230001,-1080
4.53743921,13280222,-733
4.542694153,13329661,-2073
4.547543493,13378910,-622
4.552617767,13429887,-877
4.557468665,13479614,-1651
4.562438183,13528946,-205
4.567741107,13576353,94
4.572551252,13601097,932
4.577726704,13452841,645
4.582482526,13610894,852
4.587338198,13734637,2130
4.592675274,13812343,1588
4.597456214,13870690,2508
4.602448574,13923245,3594
4.607530308,13975728,2456
4.612459449,14025912,2742
4.617444636,14076982,314
4.62260868,14126945,522
4.627631185,14177951,-1768
4.6327537,14228942,-1354
4.637533333,14278991,414
4.6424748099999995,14328769,-540
4.647740016,14379787,-1261
4.6524941890000004,14429661,-1532
4.657478565,14479807,-3015
4.662595559,14529648,-2018
4.667593025,14580943,-1382
4.672611923,14630670,-53
4.677495344,14680055,787
4.682483889,14730336,1678
4.687675846,14780602,3084
4.692646026,14831460,3026
4.697643048,14880635,2519
4.702572017,14932030,3061
4.707617224,14980755,-493
4.712617441,15030193,-414
4.717444802,15080217,352
4.722375317,15130509,-1580
4.727663132,15180389,440
4.732470767,15230480,-1206
4.737614301,15279341,-512
4.742656255,15329874,-2184
4.747479728,15379077,-3683
4.752590861,15428975,-1173
4.757443269,15478684,-938
4.762389483,15526156,2690
4.767484087,15542436,2069
4.772669232,15409741,1048
4.777444954,15582578,581
4.7824256,15692595,3720
4.787839535,15765223,76
4.792708759,15821744,4413
4.797555485,15874021,2985
4.802393845,15925324,1952
4.807626267,15975160,5503
4.812513967,16025644,2179
4.817659731,16077652,-1080
4.822682034,16128222,1727
4.827484917,16178731,902
4.832668471,16228272,-1655
4.837557728,16278510,-1767
4.84258043,16329162,-2184
4.84745854,16380003,-1558
4.852643314,16429987,-1367
4.857433828,16479322,-1889
4.862517723,16529991,108
4.867724029,16579440,1524
4.872442364,16630255,302
4.877561625,16680089,852
4.882703189,16730235,2034
4.887461257,16780262,840
4.892495948,16829409,1530
4.897687499,16880809,1217
4.902501116,16930272,1189
4.907420933,16980076,748
4.912486488,17029281,-676
4.917493855,17079083,-516
4.922677556,17129660,-441
4.927641607,17179671,-1329
4.932739367,17230271,-1328
4.937410582,17278821,-2163
4.942637194,17329105,-1420
4.947675636,17377952,-1587
4.9527810389999996,17426789,-1356
4.957615247,17454546,-940
4.962391367,17309623,-1537
4.967605251,17450035,-88
4.972557901,17580183,-576
4.977646294,17659403,324
4.982630663,17719559,-52
4.987607174,17772570,1897
4.992418746,17824941,2075
4.997700141,17874952,1861
5.002565882,17926435,767
5.007583885,17976784,1543
5.012423332,18027410,-1485
5.017568777,18078013,1301
5.022604958,18128008,-418
5.027578305,18179788,-2128
5.032768375,18229095,-1789
5.037680763,18279394,-3
5.042719477,18329664,-1843
5.047636452,18380258,-86
5.052400868,18429351,736
5.057564669,18479848,-1108
5.062422237,18529579,1189
5.067682926,18580080,483
5.072696369,18631307,12
5.077567947,18679203,1159
5.082445668,18730281,-47
5.087312591,18779385,1688
5.092537122,18830193,1524
5.097685952,18880145,303
5.102675295,18929842,932
5.107417988,18980037,808
5.112685002,19030117,-98
5.117497128,19079778,197
5.122439979,19128940,-457
5.127479709,19179546,11
5.133361093,19229374,439
5.1374445380000004,19278144,199
5.142432459,19327060,708
5.14750929,19361124,753
5.152578118,19259700,1032
5.157469378,19329610,2101
5.162611124,19472442,1298
5.167457016,19557381,1359
5.172691037,19619295,-200
5.177569088,19672492,470
5.182493597,19724783,1043
5.187625796,19775327,418
5.192494687,19826675,379
5.197653093,19876887,722
5.202500403,19926567,484
5.207621663,19978741,319
5.212453666,20029194,194
5.217360273,20079486,-740
5.222734369,20129014,462
5.227545482,20179711,1001
5.232447347,20230275,1627
5.237350529,20279959,-46
5.2426088889999996,20329969,913
5.247591067,20380715,1330
5.252980167,20430547,1141
5.257586637,20480212,1490
5.262588292,20530636,253
5.267689833,20580981,533
5.272747316,20630717,703
5.27758234,20680589,767
5.28256413,20730518,-38
5.287493317,20780294,64
5.292705275,20830064,573
5.297621961,20880646,875
5.30235346,20929562,144
5.307590024,20980568,1309
5.312547034,21029700,61
5.317633793,21079717,162
5.322664441,21129628,572
5.327633038,21179286,-12
5.332628725,21227411,246
5.337435394,21273613,-134
5.342747008,21285704,1158
5.347719972,21178277,829
5.352413995,21344248,1690
5.357595815,21447682,2755
5.362386375,21515502,2317
5.367653624,21572254,1441
5.372607852,21623622,917
5.377471987,21675143,-212
5.382428477,21725397,-386
5.387584564,21777534,1253
5.3923915319999995,21827373,951
5.397581628,21877815,-208
5.402595132,21928571,600
5.407464336,21978064,104
5.412520568,22028927,-639
5.417757963,22080005,121
5.422678857,22129999,981
5.427622339,22180004,530
5.432482964,22228904,1016
5.437437761,22279583,896
5.442478738,22329980,321
5.447524439,22380531,267
5.452625716,22429454,674
5.457634627,22480538,1542
5.4624218970000005,22529757,590
5.467490591,22580911,393
5.47241433,22629939,840
5.477587295,22680133,478
5.482484068,22729155,-538
5.48760121,22780787,578
5.493020202,22829203,-80
5.497710062,22880833,-418
5.50256729,22929915,-197
5.50748043,22979842,-403
5.512768747,23029317,383
5.517491242,23079479,-744
5.522478898,23128410,403
5.5275268870000005,23175669,-774
5.532709644,23193224,1210
5.537660055,23057412,340
5.542400757,23228549,604
5.5475379369999995,23342130,705
5.552669,23412581,557
5.557411469,23470981,1082
5.562564669,23523477,177
5.567666398,23575744,147
5.572488666,23625425,743
5.577432813,23676437,-728
5.582503478,23727895,-1189
5.587506195,23778650,-345
5.592593185,23828418,738
5.597624065,23878681,-689
5.602649806,23929522,-609
5.607575255,23979908,-22
5.61249215,24029359,-821
5.617494323,24079357,-1055
5.622491647,24131028,-85
5.627608005,24180478,-457
5.632686295,24231046,581
5.637446293,24280547,-627
5.642551939,24330425,-643
5.647708808,24381766,-392
5.652666323,24430887,678
5.657577085,24479951,-50
5.662426991,24530446,1799
5.667579821,24580759,815
5.672746635,24630104,1051
5.677524063,24680760,-142
5.682437897,24730498,-568
5.6876948689999995,24780533,-564
5.692423172,24830035,1515
5.6976622,24879976,926
5.702477307,24930514,5553
5.707590088,24979568,-3088
5.71269097,25029447,11712
5.717453624,25077093,9893
5.72251078,25118122,-1354
5.727613906,25113316,2909
5.732440794,25055243,-1991
5.737657996,25210754,821
5.742603431,25304512,817
5.747773657,25368383,1937
5.752455647,25423001,-109
5.757574701,25474840,13969
5.762670096,25525558,9909
5.767494198,25576779,5513
5.772558854,25627900,20879
5.777654181,25677573,1456
5.782676339,25729500,19889
5.787480527,25778910,-22222
