time (s),force (N)
3.841913848,-1.55609130859
3.846932431,-1.55014038086
3.852234994,-1.55708312988
3.856891586,-1.55548095703
3.861874846,-1.55654907227
3.866957254,-1.55715942383
3.8719633399999998,-1.56188964844
3.877001456,-1.55395507812
3.881912855,-1.55563354492
3.8868833179999998,-1.5975189209
3.8920788330000002,-1.55723571777
3.896898522,-1.55609130859
3.901936778,-1.5567779541
3.906887219,-1.55563354492
3.912306824,-1.58317565918
3.916892634,-1.55647277832
3.921963748,-1.55548095703
3.92698362,-1.55586242676
3.931920561,-1.55586242676
3.936974562,-1.55494689941
3.941930905,-1.5550994873
3.946991503,-1.55654907227
3.951989328,-1.54632568359
3.9569061850000002,-1.55624389648
3.961923321,-1.55143737793
3.96695493,-1.55578613281
3.972161469,-1.55532836914
3.9769108920000003,-1.50199890137
3.981950159,-1.55616760254
3.986977362,-1.5550994873
3.991996234,-1.55624389648
3.996894716,-1.5567779541
4.001927302,-1.50039672852
4.006945325,-1.55746459961
4.01206908,-1.55822753906
4.016948579,-1.55601501465
4.021909092,-1.55792236328
4.026992045,-1.57615661621
4.031954326,-1.55578613281
4.036980769,-1.55746459961
4.041966808,-1.55685424805
4.046983571,-1.5576171875
4.051859097,-1.56806945801
4.056868481,-1.55586242676
4.061991856,-1.55715942383
4.067076991,-1.54434204102
4.071958743,-1.55471801758
4.077112137,-1.54960632324
4.081916218,-1.55723571777
4.086973412,-1.55723571777
4.091876295,-1.61544799805
4.096918738,-1.55670166016
4.101871424,-1.55418395996
4.106875321,-1.55578613281
4.111957981,-1.55639648438
4.116917887,-1.54335021973
4.12196003,-1.55700683594
4.126905608,-1.55639648438
4.132020074,-1.55700683594
4.136938471,-1.55647277832
4.141925578,-1.55731201172
4.14689001,-1.55654907227
4.151854278,-1.55822753906
4.15685029,-1.55960083008
4.16185109,-1.55624389648
4.166939943,-1.55960083008
4.1719178,-1.55616760254
4.17697573,-1.5559387207
4.182001722,-1.58714294434
4.186964063,-1.55715942383
4.191932195,-1.55578613281
4.19690121,-1.55601501465
4.20190826,-1.55723571777
4.20684313,-1.58126831055
4.212055127,-1.55654907227
4.2168929330000005,-1.55570983887
4.221885465,-1.5567779541
4.226925113,-1.55624389648
4.23221664,-1.5697479248
4.236943459,-1.55708312988
4.24184834,-1.5559387207
4.246869976,-1.57638549805
4.251870003,-1.55670166016
4.256870025,-1.54945373535
4.261903339,-1.55532836914
4.266937034,-1.55502319336
4.272257339,-1.59690856934
4.27690533,-1.55746459961
4.2819794380000005,-1.56478881836
4.286918231,-1.5567779541
4.29188531,-1.55639648438
4.296921134,-1.57646179199
4.301906481,-1.55700683594
4.306936016,-1.55570983887
4.312005429,-1.55685424805
4.316926868,-1.55609130859
4.321923558,-1.6170501709
4.326984278,-1.55609130859
4.331930264,-1.55769348145
4.336918348,-1.55654907227
4.341919724,-1.55738830566
4.346906459,-1.54632568359
4.352037765,-1.55769348145
4.356943156,-1.55548095703
4.361984038,-1.54739379883
4.366966265,-1.55647277832
4.371931565,-1.55815124512
4.376904884,-1.55700683594
4.381939366,-1.55662536621
4.386946474,-1.55921936035
4.391965561,-1.55769348145
4.396923046,-1.55578613281
4.401883932,-1.55738830566
4.40696039,-1.55685424805
4.411914885,-1.55784606934
4.41694933,-1.5567779541
4.421945556,-1.55754089355
4.426991986,-1.5567779541
